Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2025-08-04 18:00:00,145.11,145.34,144.4,144.5,1104.145,1754331299999,159856.52733000,473,249.27800000,36138.46953000,0
2025-08-04 18:15:00,144.51,145.02,144.43,144.66,399.99,1754332199999,57885.42501000,241,242.80300000,35138.78501000,0
2025-08-04 18:30:00,144.61,144.61,144.15,144.2,300.707,1754333099999,43396.83644000,258,112.82900000,16290.91935000,0
2025-08-04 18:45:00,144.22,144.46,143.94,144.15,484.827,1754333999999,69881.07710000,278,258.50800000,37266.09150000,0
2025-08-04 19:00:00,144.02,144.05,143.67,143.81,345.41,1754334899999,49675.94482000,210,195.36400000,28100.61643000,0
2025-08-04 19:15:00,143.82,144.02,143.31,143.33,689.248,1754335799999,99022.25509000,332,458.26000000,65855.00208000,0
2025-08-04 19:30:00,143.36,143.44,142.68,142.95,655.484,1754336699999,93730.91882000,304,416.85500000,59622.45110000,0
2025-08-04 19:45:00,143.04,143.38,143.04,143.25,449.451,1754337599999,64380.92842000,208,207.80400000,29769.99377000,0
2025-08-04 20:00:00,143.23,143.66,142.96,143.33,535.355,1754338499999,76759.70138000,327,356.37700000,51099.64876000,0
2025-08-04 20:15:00,143.29,143.77,143.2,143.77,201.126,1754339399999,28852.26073000,175,169.84800000,24367.14291000,0
2025-08-04 20:30:00,143.78,145.55,143.78,145.13,1025.915,1754340299999,148581.15918000,708,722.61400000,104681.78988000,0
2025-08-04 20:45:00,145.02,145.09,144.17,144.59,520.57,1754341199999,75272.59772000,337,254.34400000,36769.34737000,0
2025-08-04 21:00:00,144.72,145.21,144.63,144.9,206.769,1754342099999,29972.85575000,235,100.69200000,14599.22766000,0
2025-08-04 21:15:00,144.9,145.48,144.85,145.3,381.757,1754342999999,55416.53558000,255,196.29100000,28506.98942000,0
